	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
984628624312688641	2018-04-13 03:05:32	Vagas Empregos SP	Vagas p/ GERENTE DE SUCURSAL - GRUPO SEGURADOR BANCO DO BRASIL e MAPFRE - Divinópolis/MG - https://t.co/Pv1lOKMPtY	0	0		50826	50
984627644095283201	2018-04-13 03:01:38	lusca	Gostei de um vídeo @YouTube https://t.co/6KYw3GXKq1 MAIOR ASSALTO A BANCO DO BRASIL !!	0	0		1364	579
984627208198279168	2018-04-13 02:59:54	Tô de olho	@rehtrica @Estadao A reforma mais impactante seria na previdência. É preciso reduzir o déficit previdenciário q con… https://t.co/sc0ogmXBfJ	0	0		15	115
984626858015838209	2018-04-13 02:58:31	Choque!	"RT @AnaPaulaVolei: As configurações de ""o sítio não é meu é do meu amigo"" foram atualizadas com sucesso.

Defesa de Palocci diz que foi o b…"	271	0		52	127
984625473958400000	2018-04-13 02:53:01	Mcledison Freitas	"RT @AnaPaulaVolei: As configurações de ""o sítio não é meu é do meu amigo"" foram atualizadas com sucesso.

Defesa de Palocci diz que foi o b…"	271	0		84	744
984624245778124800	2018-04-13 02:48:08	Sou Eu	"RT @AnaPaulaVolei: As configurações de ""o sítio não é meu é do meu amigo"" foram atualizadas com sucesso.

Defesa de Palocci diz que foi o b…"	271	0		440	1278
984624023526170624	2018-04-13 02:47:15	?????	"RT @AnaPaulaVolei: As configurações de ""o sítio não é meu é do meu amigo"" foram atualizadas com sucesso.

Defesa de Palocci diz que foi o b…"	271	0		3157	3141
984623600924737536	2018-04-13 02:45:34	Dandan Sicoob ?	Hoje quando voltei do horário de almoço, fiquei la na frente observando o movimento e vi um senhor de idade bem piã… https://t.co/NqCP31jfHi	0	0		420	421
984622959766667265	2018-04-13 02:43:01	Léo Nascimento	RT @rogeriotomazjr: O maior banco do Brasil e o 13º do mundo consegue reduzir condenação de R$ 160 milhões para R$ 160 mil. E você aí falan…	191	0		33	242
984622958453944320	2018-04-13 02:43:01	Deadpool	"RT @AnaPaulaVolei: As configurações de ""o sítio não é meu é do meu amigo"" foram atualizadas com sucesso.

Defesa de Palocci diz que foi o b…"	271	0		2421	2264
984622591561355264	2018-04-13 02:41:33	Diziole40@gmail rodr	"RT @AnaPaulaVolei: As configurações de ""o sítio não é meu é do meu amigo"" foram atualizadas com sucesso.

Defesa de Palocci diz que foi o b…"	271	0		1247	2191
984622010050506753	2018-04-13 02:39:15	?? Família Beraldo	"RT @AnaPaulaVolei: As configurações de ""o sítio não é meu é do meu amigo"" foram atualizadas com sucesso.

Defesa de Palocci diz que foi o b…"	271	0		36	126
984620923754983424	2018-04-13 02:34:56	Gustavo #ADR5M	Gostei de um vídeo @YouTube https://t.co/XCSZ29L5YM MAIOR ASSALTO A BANCO DO BRASIL !!	0	0		43	148
984619084905054210	2018-04-13 02:27:37	turu tururu turu tururu	"@Quimicuzinho Ali no centro na entrada do calçadão na frente do Banco do Brasil

De acordo com o aconteceu em Jarag… https://t.co/Sr50iTQdjm"	0	1		135	177
984618606116966403	2018-04-13 02:25:43	Edvaldo Galvão	Serrita-PE: Superintendente Regional do Banco do Brasil diz que agência da cidade vai reabrir, mas sem dinheiro nos… https://t.co/fCWoTet5TT	0	0		279	393
984617788181499904	2018-04-13 02:22:28	?l???????l ?	"RT @kstarsbr: ? blusa manga curta DPR ?

R$30,00 + frete (banco Caixa Econômica) boleto ou cartão (Paypal)
Entrego em mãos nas estações do…"	9	0		741	969
984617157794390016	2018-04-13 02:19:58	#Lary miranda	"@maikomamorim Oi maikon . Precisa de CPF pra fazer  Ted Itaú pro banco do Brasil . 
Pode me mandar?"	0	3		322	59
984616906769477632	2018-04-13 02:18:58	Alex Rolim	Não tem ficado nem no banco. Não ganhou confiança contra as babas do baiano, vai ganhar na série A? Na Copa do Bras… https://t.co/QlOLkWjVdh	0	0		1593	939
984616624572395520	2018-04-13 02:17:51	Dingol #100K	Gostei de um vídeo @YouTube https://t.co/NZ2xxij3FL MAIOR ASSALTO A BANCO DO BRASIL !!	0	0		95	42
984616150993637376	2018-04-13 02:15:58	Eda Paron	"RT @AnaPaulaVolei: As configurações de ""o sítio não é meu é do meu amigo"" foram atualizadas com sucesso.

Defesa de Palocci diz que foi o b…"	271	0		522	1012
984616093443608576	2018-04-13 02:15:44	New Atom Ant	@kaduartemorais @joaoamoedonovo Privatizar ambos, e ainda Banco do Brasil, CAIXA e BNDES.	0	0		378	444
984615911553425408	2018-04-13 02:15:01	Fabio Lemos	"RT @AnaPaulaVolei: As configurações de ""o sítio não é meu é do meu amigo"" foram atualizadas com sucesso.

Defesa de Palocci diz que foi o b…"	271	0		2436	3022
984615370991591425	2018-04-13 02:12:52	Leonardo Santos	"RT @AnaPaulaVolei: As configurações de ""o sítio não é meu é do meu amigo"" foram atualizadas com sucesso.

Defesa de Palocci diz que foi o b…"	271	0		228	370
984615181253738496	2018-04-13 02:12:07	Marcos F Oliveira	"RT @AnaPaulaVolei: As configurações de ""o sítio não é meu é do meu amigo"" foram atualizadas com sucesso.

Defesa de Palocci diz que foi o b…"	271	0		786	1394
984614531648417792	2018-04-13 02:09:32	Silvio Carlos	"RT @AnaPaulaVolei: As configurações de ""o sítio não é meu é do meu amigo"" foram atualizadas com sucesso.

Defesa de Palocci diz que foi o b…"	271	0		233	461
984614365759528960	2018-04-13 02:08:52	LEILA DA SILVA TORRE	RT @rogeriotomazjr: O maior banco do Brasil e o 13º do mundo consegue reduzir condenação de R$ 160 milhões para R$ 160 mil. E você aí falan…	191	0		123	62
984614354111868929	2018-04-13 02:08:49	???Sandrah17paz???	"RT @AnaPaulaVolei: As configurações de ""o sítio não é meu é do meu amigo"" foram atualizadas com sucesso.

Defesa de Palocci diz que foi o b…"	271	0		1179	1663
984613941010731008	2018-04-13 02:07:11	Carlos Machado	RT @rogeriotomazjr: O maior banco do Brasil e o 13º do mundo consegue reduzir condenação de R$ 160 milhões para R$ 160 mil. E você aí falan…	191	0		240	766
984613647853944832	2018-04-13 02:06:01	Vander	"RT @AnaPaulaVolei: As configurações de ""o sítio não é meu é do meu amigo"" foram atualizadas com sucesso.

Defesa de Palocci diz que foi o b…"	271	0		48	753
984613177638912000	2018-04-13 02:04:09	Brasil sem comunismo	"RT @AnaPaulaVolei: As configurações de ""o sítio não é meu é do meu amigo"" foram atualizadas com sucesso.

Defesa de Palocci diz que foi o b…"	271	0		236	374
984612731260108800	2018-04-13 02:02:23	Claudinei MORO Rodrigues	"RT @AnaPaulaVolei: As configurações de ""o sítio não é meu é do meu amigo"" foram atualizadas com sucesso.

Defesa de Palocci diz que foi o b…"	271	0		2105	2436
984612500363718656	2018-04-13 02:01:27	Iguanodon't	@courocomcouro obg leles mt obrigado. sabe se o banco do brasil daqui já tá funfando normalmente?	0	0		324	1661
984612156997013505	2018-04-13 02:00:06	Helo, sou eu!	"RT @AnaPaulaVolei: As configurações de ""o sítio não é meu é do meu amigo"" foram atualizadas com sucesso.

Defesa de Palocci diz que foi o b…"	271	0		501	325
984611963627081728	2018-04-13 01:59:19	ana izabel sartori	"RT @AnaPaulaVolei: As configurações de ""o sítio não é meu é do meu amigo"" foram atualizadas com sucesso.

Defesa de Palocci diz que foi o b…"	271	0		138	108
984611741291241472	2018-04-13 01:58:26	Eduardo #TimBeta	I'm at Banco do Brasil in Lavras, MG https://t.co/Qynr5UAeJ7	0	0		571	1227
984611688958910464	2018-04-13 01:58:14	Ivani Basso	"RT @AnaPaulaVolei: As configurações de ""o sítio não é meu é do meu amigo"" foram atualizadas com sucesso.

Defesa de Palocci diz que foi o b…"	271	0		6688	5505
984611349861892097	2018-04-13 01:56:53	Direita Já ????	"RT @AnaPaulaVolei: As configurações de ""o sítio não é meu é do meu amigo"" foram atualizadas com sucesso.

Defesa de Palocci diz que foi o b…"	271	0		4236	3416
984611027638804481	2018-04-13 01:55:36	Brasil_de_Ovelhas	"RT @AnaPaulaVolei: As configurações de ""o sítio não é meu é do meu amigo"" foram atualizadas com sucesso.

Defesa de Palocci diz que foi o b…"	271	0		1425	1623
984610940216840193	2018-04-13 01:55:15	Isabelle Matos	"RT @tche_esportes: Em crise política e financeira, #handebol perde o patrocínio do Banco do Brasil

Modalidade, que recebeu quase R$ 89 mil…"	3	0		715	925
984610293199368192	2018-04-13 01:52:41	Thadeu Simoes	"RT @AnaPaulaVolei: As configurações de ""o sítio não é meu é do meu amigo"" foram atualizadas com sucesso.

Defesa de Palocci diz que foi o b…"	271	0		1733	1482
984610193236549632	2018-04-13 01:52:17	marcia amaral	"RT @AnaPaulaVolei: As configurações de ""o sítio não é meu é do meu amigo"" foram atualizadas com sucesso.

Defesa de Palocci diz que foi o b…"	271	0		13	92
984610097690234880	2018-04-13 01:51:55	André Melo	RT @MPCPE: TCU pode controlar fundação do Banco do Brasil que repassa recursos, decide STF      https://t.co/LZSJyp0aEi	4	0		57	195
984609507660754945	2018-04-13 01:49:34	Guia Live Indaiatuba	"RT @AnaPaulaVolei: As configurações de ""o sítio não é meu é do meu amigo"" foram atualizadas com sucesso.

Defesa de Palocci diz que foi o b…"	271	0		329	1134
984609176960815104	2018-04-13 01:48:15	Reynaldo Ferreira	"RT @AnaPaulaVolei: As configurações de ""o sítio não é meu é do meu amigo"" foram atualizadas com sucesso.

Defesa de Palocci diz que foi o b…"	271	0		3551	3652
